,Given Stock,Symbol,ISIN,Status,Date of Listing,Basic Industry,Sectoral Index,Macro-Economic Sector,Sector,Industry
301,CANTABIL,CANTABIL,INE068L01016,Listed,12-Oct-2010,Garments & Apparels,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
302,CAPACITE,CAPACITE,INE264T01014,Listed,25-Sep-2017,Engineering Designing & Construction,NIFTY REALTY                                      ,Industrials,Construction,Construction
303,CAPLIPOINT,CAPLIPOINT,INE475E01026,Listed,23-Jun-2014,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
304,CAPTRUST,CAPTRUST,INE707C01018,Listed,16-Jan-2017,Non Banking Financial Company (NBFC),NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
305,CARBORUNIV,CARBORUNIV,INE120A01034,Listed,03-Apr-1996,Abrasives,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Industrial Products
306,CAREERP,CAREERP,INE521J01018,Listed,06-Oct-2010,Education,NIFTY SERVICES SECTOR                             ,Consumer Discretionary,Consumer Services,Other Consumer Services
307,CARERATING,CARERATING,INE752H01013,Listed,26-Dec-2012,Ratings,NIFTY 500                                         ,Financial Services,Financial Services,Capital Markets
308,CARTRADE,CARTRADE,INE290S01011,Listed,20-Aug-2021,E-Retail/ E-Commerce,NA,Consumer Discretionary,Consumer Services,Retailing
309,CASTROLIND,CASTROLIND,INE172A01027,Listed,14-Mar-2014,Lubricants,NIFTY 500                                         ,Energy,Oil Gas & Consumable Fuels,Petroleum Products
310,CCCL,CCCL,INE429I01024,Temporary Suspended,15-Oct-2007,NA,NIFTY REALTY                                      ,,,
311,CCHHL,CCHHL,INE652F01027,Listed,03-Feb-2015,Hotels & Resorts,NIFTY SERVICES SECTOR                             ,Consumer Discretionary,Consumer Services,Leisure Services
312,CCL,CCL,INE421D01022,Listed,07-Jun-2004,Tea & Coffee,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
313,CDSL,CDSL,INE736A01011,Listed,30-Jun-2017,Depositories Clearing Houses and Other Intermediaries,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Capital Markets
314,CEATLTD,CEATLTD,INE482A01020,Listed,01-Feb-2008,Tyres & Rubber Products,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
315,CELEBRITY,CELEBRITY,INE185H01016,Listed,12-Jan-2006,Garments & Apparels,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
316,CENTENKA,CENTENKA,INE485A01015,Listed,10-May-1995,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
317,CENTEXT,CENTEXT,INE281A01026,Listed,20-Jul-2004,Aluminium Copper & Zinc Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
318,CENTRALBK,CENTRALBK,INE483A01010,Listed,21-Aug-2007,Public Sector Bank,NIFTY BANK                                        ,Financial Services,Financial Services,Banks
319,CENTRUM,CENTRUM,INE660C01027,Listed,04-Apr-2018,Other Financial Services,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
320,CENTUM,CENTUM,INE320B01020,Listed,05-Oct-2007,Industrial Electronics,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Manufacturing
321,CENTURYPLY,CENTURYPLY,INE348B01021,Listed,23-Mar-2006,Plywood Boards/ Laminates,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
322,CENTURYTEX,CENTURYTEX,INE055A01016,Listed,27-Jun-2003,Paper & Paper Products,NIFTY 500                                         ,Commodities,Forest Materials,Paper Forest & Jute Products
323,CERA,CERA,INE739E01017,Listed,02-Nov-2007,Sanitary Ware,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
324,CEREBRAINT,CEREBRAINT,INE345B01019,Listed,26-Jun-2013,Computers Hardware & Equipments,NIFTY IT                                          ,Information Technology,Information Technology,IT - Hardware
325,CESC,CESC,INE486A01021,Listed,08-Feb-1995,Electric Utilities,NIFTY INFRASTRUCTURE                              ,Utilities,Power,Power
326,CGCL,CGCL,INE180C01026,Listed,29-Oct-2010,Non Banking Financial Company (NBFC),NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
327,CGPOWER,CGPOWER,INE067A01029,Listed,01-Mar-1995,Heavy Electrical Equipment,NIFTY 500                                         ,Industrials,Capital Goods,Electrical Equipment
328,CHALET,CHALET,INE427F01016,Listed,07-Feb-2019,Hotels & Resorts,NIFTY SERVICES SECTOR                             ,Consumer Discretionary,Consumer Services,Leisure Services
